estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.5026929982046678,0.56668411010297,0.6265709156193896,0.041023716168541426,,gini,,,
DecisionTree,0.5026929982046678,0.56668411010297,0.6265709156193896,0.041023716168541426,,entropy,,,
RandomForest,0.5017953321364452,0.5664148907906708,0.6265709156193896,0.04107772836107551,,,100,,
RandomForest,0.5017953321364452,0.5664148102825031,0.6265709156193896,0.04095655249875484,,,10,,
SupportVectorMachine,0.5026929982046678,0.566325204692016,0.6265709156193896,0.04088497900600605,100,,,,
SupportVectorMachine,0.5026929982046678,0.5657869270837527,0.6274685816876122,0.04138605864803011,0.1,,,,
MultilayerPerceptron,0.5017953321364452,0.5657868465755851,0.6265709156193896,0.04090520207092732,,,,relu,"(17, 8, 17)"
MultilayerPerceptron,0.4991023339317774,0.5626453373694762,0.6149012567324955,0.040231358844901706,,,,tanh,"(17, 8, 17)"
QuadraticDiscriminantAnalysis,0.48922800718132853,0.5525933290932367,0.6086175942549371,0.04074748896886773,,,,,
BernoulliNaiveBayes,0.4865350089766607,0.5506194298411573,0.6337522441651705,0.04663515554637558,,,,,
