estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.5098743267504489,0.5692873417008155,0.6274685816876122,0.039580447411073735,,gini,,,
DecisionTree,0.5098743267504489,0.5692873417008155,0.6274685816876122,0.039580447411073735,,entropy,,,
SupportVectorMachine,0.5089766606822262,0.5687492251088874,0.6274685816876122,0.04061285153701508,0.1,,,,
SupportVectorMachine,0.5098743267504489,0.5685695308789077,0.6274685816876122,0.03921358087996192,100,,,,
RandomForest,0.5098743267504489,0.5683001505502734,0.6229802513464991,0.03876442577079796,,,100,,
RandomForest,0.5098743267504489,0.5681206173366288,0.6229802513464991,0.038681130753854966,,,10,,
MultilayerPerceptron,0.5107719928186715,0.5675825007447005,0.6274685816876122,0.03923964527361412,,,,relu,"(17, 8, 17)"
MultilayerPerceptron,0.507181328545781,0.5660569514777273,0.6211849192100538,0.03861117987541886,,,,tanh,"(17, 8, 17)"
QuadraticDiscriminantAnalysis,0.49281867145421904,0.5527757606009129,0.625673249551167,0.04146511037811942,,,,,
LogisticRegression,0.48922800718132853,0.5507994461038072,0.6364452423698385,0.04567116523345747,1.0,,,,
