estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
RandomForest,0.48204667863554757,0.545771711040085,0.6077199281867145,0.035511598175952924,,,100,,
SupportVectorMachine,0.48204667863554757,0.5456821859577654,0.6059245960502693,0.03511475966984696,0.1,,,,
MultilayerPerceptron,0.48204667863554757,0.5456820249414303,0.6050269299820467,0.03505716169166017,,,,relu,"(17, 8, 17)"
RandomForest,0.48204667863554757,0.5455922583346081,0.6059245960502693,0.03526877010680053,,,10,,
DecisionTree,0.48204667863554757,0.545592258334608,0.6050269299820467,0.03496588207778172,,gini,,,
DecisionTree,0.48204667863554757,0.545592258334608,0.6050269299820467,0.03496588207778172,,entropy,,,
SupportVectorMachine,0.48204667863554757,0.5454127251209635,0.6050269299820467,0.03504962010927201,100,,,,
MultilayerPerceptron,0.46858168761220825,0.5437969261981628,0.6077199281867145,0.04073482445241135,,,,tanh,"(17, 8, 17)"
BernoulliNaiveBayes,0.4497307001795332,0.5260253922760464,0.6149012567324955,0.04593934492280825,,,,,
LogisticRegression,0.4524236983842011,0.5259353841447215,0.6131059245960503,0.0448058425429155,0.0001,,,,
