estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LinearDiscriminantAnalysis,0.5580524344569289,0.6047666944703401,0.6666666666666666,0.030420670858834806,,,,,
LogisticRegression,0.5580524344569289,0.6047666944703401,0.6666666666666666,0.030420670858834806,10000.0,,,,
LogisticRegression,0.5580524344569289,0.6045795453748941,0.6666666666666666,0.03036993473243881,1.0,,,,
LogisticRegression,0.5642946317103621,0.6013978160487163,0.6329588014981273,0.018512222449072458,0.0001,,,,
MultilayerPerceptron,0.5580524344569289,0.5995859433350234,0.6363069245165315,0.024452928853314407,,,,tanh,"(17, 8, 17)"
RandomForest,0.5580524344569289,0.5970282779713131,0.634207240948814,0.022024064468042143,,,10,,
DecisionTree,0.5580524344569289,0.5970282000898751,0.634207240948814,0.02197767318281279,,gini,,,
DecisionTree,0.5580524344569289,0.5970282000898751,0.634207240948814,0.02197767318281279,,entropy,,,
SupportVectorMachine,0.5580524344569289,0.5970282000898751,0.634207240948814,0.02197767318281279,100,,,,
RandomForest,0.5580524344569289,0.5969034340262445,0.634207240948814,0.021977447253877166,,,100,,
MultilayerPerceptron,0.5580524344569289,0.596653979780421,0.634207240948814,0.021616313679776154,,,,relu,"(17, 8, 17)"
SupportVectorMachine,0.5574282147315855,0.5965911294599778,0.634207240948814,0.022490010795431805,0.1,,,,
BernoulliNaiveBayes,0.5580524344569289,0.5954677286579548,0.6329588014981273,0.021678581147565826,,,,,
K-NearestNeighbor,0.5009357454772302,0.5094208502628109,0.5446038677479725,0.01268874100634202,,,,,
QuadraticDiscriminantAnalysis,0.4978165938864629,0.5008735571490097,0.5040548970679976,0.0016611056297019735,,,,,
