estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LinearDiscriminantAnalysis,0.5455680399500624,0.6032685281887971,0.6716604244694132,0.03270291425647409,,,,,
LogisticRegression,0.5455680399500624,0.6025822369573903,0.6704119850187266,0.03257104032803482,10000.0,,,,
LogisticRegression,0.5455680399500624,0.6021454778532449,0.6704119850187266,0.03271359552643962,1.0,,,,
LogisticRegression,0.5561797752808989,0.5995876177859397,0.6310861423220974,0.019631434525562538,0.0001,,,,
MultilayerPerceptron,0.5455680399500624,0.5985884378774816,0.6716604244694132,0.03133330361948356,,,,relu,"(17, 8, 17)"
MultilayerPerceptron,0.5455680399500624,0.5972772649285087,0.6317103620474407,0.023647250882202125,,,,tanh,"(17, 8, 17)"
DecisionTree,0.5455680399500624,0.5953420669577876,0.6317103620474407,0.02320591022235358,,gini,,,
DecisionTree,0.5455680399500624,0.5953420669577876,0.6317103620474407,0.02320591022235358,,entropy,,,
RandomForest,0.5455680399500624,0.5953420669577876,0.6317103620474407,0.02320591022235358,,,100,,
SupportVectorMachine,0.5455680399500624,0.5953420669577876,0.6317103620474407,0.02320591022235358,100,,,,
RandomForest,0.5455680399500624,0.5952796449852531,0.6317103620474407,0.023216298148841793,,,10,,
SupportVectorMachine,0.5455680399500624,0.5945931979909704,0.632334581772784,0.023852696308737646,0.1,,,,
BernoulliNaiveBayes,0.5455680399500624,0.5928460447522318,0.6310861423220974,0.02483331663915405,,,,,
K-NearestNeighbor,0.50187265917603,0.5114180807988766,0.5402370555208983,0.011075153147733925,,,,,
QuadraticDiscriminantAnalysis,0.4978165938864629,0.5010607841258938,0.5028072364316906,0.0014172261561268952,,,,,
