estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LinearDiscriminantAnalysis,0.552434456928839,0.598713982755492,0.6666666666666666,0.03186945635846233,,,,,
LogisticRegression,0.552434456928839,0.5975910881828159,0.6666666666666666,0.032321837221692816,10000.0,,,,
LogisticRegression,0.552434456928839,0.5974038612059318,0.6666666666666666,0.03245491938749934,1.0,,,,
LogisticRegression,0.5651902682470368,0.5970303028887004,0.6317103620474407,0.0196078332744969,0.0001,,,,
MultilayerPerceptron,0.552434456928839,0.5917242015789683,0.6329588014981273,0.023666196574517722,,,,tanh,"(17, 8, 17)"
RandomForest,0.552434456928839,0.5912879097634506,0.6329588014981273,0.022439722326195056,,,100,,
SupportVectorMachine,0.552434456928839,0.5912879097634506,0.6329588014981273,0.022439722326195056,100,,,,
DecisionTree,0.5518102372034956,0.5912254877909164,0.6329588014981273,0.022548321998145333,,gini,,,
DecisionTree,0.5518102372034956,0.5912254877909164,0.6329588014981273,0.022548321998145333,,entropy,,,
BernoulliNaiveBayes,0.5518102372034956,0.5909752547307134,0.6317103620474407,0.022932928601356012,,,,,
RandomForest,0.552434456928839,0.5906640794452973,0.6329588014981273,0.02218392607399452,,,10,,
MultilayerPerceptron,0.5518102372034956,0.5900397428977968,0.6329588014981273,0.022805027232004962,,,,relu,"(17, 8, 17)"
SupportVectorMachine,0.5499375780274657,0.5889789977126221,0.6329588014981273,0.02312024916088855,0.1,,,,
K-NearestNeighbor,0.5015595757953837,0.5066766199144394,0.5134123518402994,0.00307264680514292,,,,,
QuadraticDiscriminantAnalysis,0.49968808484092325,0.5,0.5003119151590767,0.0002416084433067547,,,,,
