estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LinearDiscriminantAnalysis,0.5549313358302123,0.6037062218701981,0.6460674157303371,0.026422065076284827,,,,,
MultilayerPerceptron,0.5611735330836455,0.6037050925893475,0.6279650436953808,0.020049259100357607,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.5611735330836455,0.6036441114234157,0.6629213483146067,0.025910239868384123,,,,relu,"(17, 8, 17)"
LogisticRegression,0.5549313358302123,0.6022087954623159,0.6460674157303371,0.025296471670774267,10000.0,,,,
LogisticRegression,0.5655430711610487,0.6015851598477575,0.6223470661672909,0.01686197212818851,0.0001,,,,
LogisticRegression,0.5549313358302123,0.6005860578207372,0.6460674157303371,0.02551854183677401,1.0,,,,
RandomForest,0.5611735330836455,0.5990873853098474,0.6217228464419475,0.018377634662622936,,,100,,
RandomForest,0.5611735330836455,0.5981515619511792,0.6204744069912609,0.01777486040881543,,,10,,
SupportVectorMachine,0.5605493133583022,0.5980892568008018,0.6217228464419475,0.01783740065670981,100,,,,
DecisionTree,0.5599250936329588,0.597901990883199,0.6217228464419475,0.017997170525386227,,gini,,,
