estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.5561797752808989,0.6025201265106078,0.6335830212234707,0.020519676567279807,,gini,,,
DecisionTree,0.5561797752808989,0.6025201265106078,0.6335830212234707,0.020519676567279807,,entropy,,,
RandomForest,0.5561797752808989,0.6025201265106078,0.6335830212234707,0.020519676567279807,,,10,,
RandomForest,0.5561797752808989,0.6025201265106078,0.6335830212234707,0.020519676567279807,,,100,,
SupportVectorMachine,0.5561797752808989,0.6025201265106078,0.6335830212234707,0.020519676567279807,100,,,,
LogisticRegression,0.5555555555555556,0.6023329384744427,0.6335830212234707,0.02074987705673206,0.0001,,,,
LogisticRegression,0.5555555555555556,0.6023329384744427,0.6335830212234707,0.02074987705673206,1.0,,,,
LogisticRegression,0.5555555555555556,0.6023329384744427,0.6335830212234707,0.02074987705673206,10000.0,,,,
BernoulliNaiveBayes,0.5555555555555556,0.6023329384744427,0.6335830212234707,0.02074987705673206,,,,,
SupportVectorMachine,0.5555555555555556,0.6023329384744427,0.6335830212234707,0.02074987705673206,0.1,,,,
