estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LinearDiscriminantAnalysis,0.5455680399500624,0.6032685281887971,0.6716604244694132,0.03270291425647409,,,,,
LogisticRegression,0.5455680399500624,0.6025822369573903,0.6704119850187266,0.03257104032803482,10000.0,,,,
LogisticRegression,0.5455680399500624,0.6021454778532449,0.6704119850187266,0.03271359552643962,1.0,,,,
LogisticRegression,0.5561797752808989,0.5995876177859397,0.6310861423220974,0.019631434525562538,0.0001,,,,
MultilayerPerceptron,0.5455680399500624,0.5985884378774816,0.6716604244694132,0.03133330361948356,,,,relu,"(17, 8, 17)"
MultilayerPerceptron,0.5455680399500624,0.5972772649285087,0.6317103620474407,0.023647250882202125,,,,tanh,"(17, 8, 17)"
DecisionTree,0.5455680399500624,0.5953420669577876,0.6317103620474407,0.02320591022235358,,gini,,,
DecisionTree,0.5455680399500624,0.5953420669577876,0.6317103620474407,0.02320591022235358,,entropy,,,
RandomForest,0.5455680399500624,0.5953420669577876,0.6317103620474407,0.02320591022235358,,,100,,
SupportVectorMachine,0.5455680399500624,0.5953420669577876,0.6317103620474407,0.02320591022235358,100,,,,
