estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
BernoulliNaiveBayes,0.5561797752808989,0.5990883198871031,0.6385767790262172,0.020978751750997292,,,,,
LogisticRegression,0.5530586766541823,0.5985890998697043,0.6385767790262172,0.02201729744249445,0.0001,,,,
MultilayerPerceptron,0.5443196004993758,0.5954044889303218,0.6367041198501873,0.024474768994896246,,,,relu,"(17, 8, 17)"
MultilayerPerceptron,0.5443196004993758,0.595216950427686,0.6385767790262172,0.02642238488161675,,,,tanh,"(17, 8, 17)"
LogisticRegression,0.5399500624219725,0.5945305423741221,0.6292134831460674,0.02610665212822716,1.0,,,,
LinearDiscriminantAnalysis,0.5399500624219725,0.5944060099548054,0.6292134831460674,0.026693616171399773,,,,,
DecisionTree,0.5449438202247191,0.5932212775203796,0.6367041198501873,0.026086834092273446,,gini,,,
DecisionTree,0.5449438202247191,0.5932212775203796,0.6367041198501873,0.026086834092273446,,entropy,,,
SupportVectorMachine,0.5449438202247191,0.5932212775203796,0.6367041198501873,0.026086834092273446,100,,,,
LogisticRegression,0.5399500624219725,0.5929088171912371,0.6292134831460674,0.025909696367742655,10000.0,,,,
