estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LinearDiscriminantAnalysis,0.48467966573816157,0.5522678737233055,0.5777777777777777,0.02511481271700636,,,,,
LogisticRegression,0.48467966573816157,0.5522678737233055,0.5777777777777777,0.02511481271700636,1.0,,,,
LogisticRegression,0.48467966573816157,0.5522678737233055,0.5777777777777777,0.02511481271700636,10000.0,,,,
BernoulliNaiveBayes,0.48467966573816157,0.5522678737233055,0.5777777777777777,0.02511481271700636,,,,,
DecisionTree,0.48467966573816157,0.5522678737233055,0.5777777777777777,0.02511481271700636,,gini,,,
DecisionTree,0.48467966573816157,0.5522678737233055,0.5777777777777777,0.02511481271700636,,entropy,,,
RandomForest,0.48467966573816157,0.5522678737233055,0.5777777777777777,0.02511481271700636,,,10,,
RandomForest,0.48467966573816157,0.5522678737233055,0.5777777777777777,0.02511481271700636,,,100,,
SupportVectorMachine,0.48467966573816157,0.5522678737233055,0.5777777777777777,0.02511481271700636,0.1,,,,
SupportVectorMachine,0.48467966573816157,0.5522678737233055,0.5777777777777777,0.02511481271700636,100,,,,
MultilayerPerceptron,0.48467966573816157,0.5522678737233055,0.5777777777777777,0.02511481271700636,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.48467966573816157,0.5522678737233055,0.5777777777777777,0.02511481271700636,,,,relu,"(17, 8, 17)"
LogisticRegression,0.48467966573816157,0.5517123181677499,0.575,0.024631899391364908,0.0001,,,,
K-NearestNeighbor,0.5013927576601671,0.5261350974930362,0.5654596100278552,0.023340598207955168,,,,,
QuadraticDiscriminantAnalysis,0.4986072423398329,0.5,0.5013927576601671,0.0008808572869549669,,,,,
