estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LinearDiscriminantAnalysis,0.5111111111111111,0.5578381306097184,0.5916666666666667,0.0218157423807514,,,,,
LogisticRegression,0.5111111111111111,0.5578381306097184,0.5916666666666667,0.0218157423807514,1.0,,,,
LogisticRegression,0.5111111111111111,0.5578381306097184,0.5916666666666667,0.0218157423807514,10000.0,,,,
BernoulliNaiveBayes,0.5111111111111111,0.5578381306097184,0.5916666666666667,0.0218157423807514,,,,,
MultilayerPerceptron,0.5111111111111111,0.5578381306097184,0.5916666666666667,0.0218157423807514,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.5111111111111111,0.5578381306097184,0.5916666666666667,0.0218157423807514,,,,relu,"(17, 8, 17)"
DecisionTree,0.5111111111111111,0.5545001547508511,0.5766016713091922,0.020021972931999435,,gini,,,
DecisionTree,0.5111111111111111,0.5545001547508511,0.5766016713091922,0.020021972931999435,,entropy,,,
RandomForest,0.5111111111111111,0.5545001547508511,0.5766016713091922,0.020021972931999435,,,10,,
RandomForest,0.5111111111111111,0.5545001547508511,0.5766016713091922,0.020021972931999435,,,100,,
SupportVectorMachine,0.5111111111111111,0.5545001547508511,0.5766016713091922,0.020021972931999435,0.1,,,,
SupportVectorMachine,0.5111111111111111,0.5545001547508511,0.5766016713091922,0.020021972931999435,100,,,,
LogisticRegression,0.5138888888888888,0.5542239244815846,0.5821727019498607,0.019525590584131877,0.0001,,,,
K-NearestNeighbor,0.49303621169916434,0.5203025379139585,0.5766016713091922,0.025971843101999237,,,,,
QuadraticDiscriminantAnalysis,0.4986072423398329,0.4997214484679667,0.5013927576601671,0.000835654596100266,,,,,
