estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
RandomForest,0.5,0.5664631692974311,0.6222222222222222,0.03334654058609956,,,10,,
RandomForest,0.5,0.5656290622098421,0.6222222222222222,0.03408601636653306,,,100,,
SupportVectorMachine,0.5,0.56535205818632,0.6222222222222222,0.03327489391463158,100,,,,
DecisionTree,0.5,0.5650735066542867,0.6222222222222222,0.033470457408485046,,gini,,,
DecisionTree,0.5,0.5650735066542867,0.6222222222222222,0.033470457408485046,,entropy,,,
MultilayerPerceptron,0.48333333333333334,0.563404518724853,0.6222222222222222,0.037537492644944694,,,,relu,"(17, 8, 17)"
LogisticRegression,0.5166666666666667,0.5614484679665738,0.5916666666666667,0.02483286652522577,10000.0,,,,
MultilayerPerceptron,0.49166666666666664,0.5609037449705973,0.6016713091922006,0.031044302997592914,,,,tanh,"(17, 8, 17)"
LinearDiscriminantAnalysis,0.5166666666666667,0.5606151346332405,0.5916666666666667,0.024689970279377842,,,,,
LogisticRegression,0.5138888888888888,0.5606151346332405,0.5916666666666667,0.025519821689487344,1.0,,,,
SupportVectorMachine,0.4888888888888889,0.5558967811822965,0.5988857938718662,0.030226040557869364,0.1,,,,
BernoulliNaiveBayes,0.4596100278551532,0.549205354379449,0.6128133704735376,0.045796545916868936,,,,,
LogisticRegression,0.4596100278551532,0.5350247601361807,0.5877437325905293,0.040103788048701884,0.0001,,,,
K-NearestNeighbor,0.48467966573816157,0.530325750541628,0.5738161559888579,0.028961020650250514,,,,,
QuadraticDiscriminantAnalysis,0.4986072423398329,0.5,0.5013927576601671,0.0008808572869549669,,,,,
