estimator,configuration,feature_selection,precision,recall,f1-measure,auc-roc,brier score
LinearDiscriminantAnalysis,{},chi2_20p,0.24166666666666667,0.26126126126126126,0.2510822510822511,0.5693098759136496,0.20281359906213364
LogisticRegression,{'C': 1.0},chi2_20p,0.24166666666666667,0.26126126126126126,0.2510822510822511,0.5693098759136496,0.20281359906213364
LogisticRegression,{'C': 10000.0},chi2_20p,0.24166666666666667,0.26126126126126126,0.2510822510822511,0.5693098759136496,0.20281359906213364
BernoulliNaiveBayes,{},chi2_20p,0.24166666666666667,0.26126126126126126,0.2510822510822511,0.5693098759136496,0.20281359906213364
DecisionTree,{'criterion': 'gini'},chi2_20p,0.24166666666666667,0.26126126126126126,0.2510822510822511,0.5693098759136496,0.20281359906213364
DecisionTree,{'criterion': 'entropy'},chi2_20p,0.24166666666666667,0.26126126126126126,0.2510822510822511,0.5693098759136496,0.20281359906213364
RandomForest,{'n_estimators': 10},chi2_20p,0.24166666666666667,0.26126126126126126,0.2510822510822511,0.5693098759136496,0.20281359906213364
RandomForest,{'n_estimators': 100},chi2_20p,0.24166666666666667,0.26126126126126126,0.2510822510822511,0.5693098759136496,0.20281359906213364
SupportVectorMachine,{'C': 0.1},chi2_20p,0.24166666666666667,0.26126126126126126,0.2510822510822511,0.5693098759136496,0.20281359906213364
SupportVectorMachine,{'C': 100},chi2_20p,0.24166666666666667,0.26126126126126126,0.2510822510822511,0.5693098759136496,0.20281359906213364
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",chi2_50p,0.2222222222222222,0.2702702702702703,0.24390243902439024,0.5643804181540031,0.21805392731535755
RandomForest,{'n_estimators': 100},chi2_50p,0.22727272727272727,0.2702702702702703,0.24691358024691357,0.566401981496321,0.21453692848769051
LinearDiscriminantAnalysis,{},chi2_50p,0.21978021978021978,0.36036036036036034,0.27303754266211605,0.584492848643792,0.24970691676436108
LogisticRegression,{'C': 1.0},chi2_50p,0.21978021978021978,0.36036036036036034,0.27303754266211605,0.584492848643792,0.24970691676436108
LogisticRegression,{'C': 10000.0},chi2_50p,0.21978021978021978,0.36036036036036034,0.27303754266211605,0.584492848643792,0.24970691676436108
DecisionTree,{'criterion': 'gini'},chi2_50p,0.22727272727272727,0.2702702702702703,0.24691358024691357,0.566401981496321,0.21453692848769051
DecisionTree,{'criterion': 'entropy'},chi2_50p,0.22727272727272727,0.2702702702702703,0.24691358024691357,0.566401981496321,0.21453692848769051
SupportVectorMachine,{'C': 100},chi2_50p,0.22727272727272727,0.2702702702702703,0.24691358024691357,0.566401981496321,0.21453692848769051
K-NearestNeighbor,{},chi2_50p,0.2713178294573643,0.3153153153153153,0.2916666666666667,0.5943153395983585,0.19929660023446658
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",chi2_50p,0.22727272727272727,0.2702702702702703,0.24691358024691357,0.566401981496321,0.21453692848769051
LinearDiscriminantAnalysis,{},mutual_info_classif_20p,0.22988505747126436,0.36036036036036034,0.2807017543859649,0.5898836842233068,0.2403282532239156
LogisticRegression,{'C': 1.0},mutual_info_classif_20p,0.22988505747126436,0.36036036036036034,0.2807017543859649,0.5898836842233068,0.2403282532239156
LogisticRegression,{'C': 10000.0},mutual_info_classif_20p,0.22988505747126436,0.36036036036036034,0.2807017543859649,0.5898836842233068,0.2403282532239156
BernoulliNaiveBayes,{},mutual_info_classif_20p,0.22988505747126436,0.36036036036036034,0.2807017543859649,0.5898836842233068,0.2403282532239156
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",mutual_info_classif_20p,0.22988505747126436,0.36036036036036034,0.2807017543859649,0.5898836842233068,0.2403282532239156
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",mutual_info_classif_20p,0.22988505747126436,0.36036036036036034,0.2807017543859649,0.5898836842233068,0.2403282532239156
