estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
MultilayerPerceptron,0.48746518105849584,0.560044103992572,0.5944444444444444,0.02966789334406843,,,,tanh,"(17, 8, 17)"
RandomForest,0.49025069637883006,0.5586559888579388,0.5916666666666667,0.026208665790373224,,,100,,
LinearDiscriminantAnalysis,0.48746518105849584,0.5575371402042711,0.5944444444444444,0.03072026640485593,,,,,
LogisticRegression,0.48746518105849584,0.5575371402042711,0.5944444444444444,0.03072026640485593,1.0,,,,
LogisticRegression,0.48746518105849584,0.5575371402042711,0.5944444444444444,0.03072026640485593,10000.0,,,,
DecisionTree,0.4986072423398329,0.5569815846487156,0.5916666666666667,0.026540629765673163,,gini,,,
DecisionTree,0.4986072423398329,0.5569815846487156,0.5916666666666667,0.026540629765673163,,entropy,,,
SupportVectorMachine,0.49025069637883006,0.555312596719282,0.5916666666666667,0.028475529820344972,100,,,,
K-NearestNeighbor,0.5264623955431755,0.5550580315691737,0.5933147632311978,0.02073645613850357,,,,,
MultilayerPerceptron,0.4986072423398329,0.5544815846487156,0.5916666666666667,0.027117849590572795,,,,relu,"(17, 8, 17)"
