estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LinearDiscriminantAnalysis,0.5111111111111111,0.5578381306097184,0.5916666666666667,0.0218157423807514,,,,,
LogisticRegression,0.5111111111111111,0.5578381306097184,0.5916666666666667,0.0218157423807514,1.0,,,,
LogisticRegression,0.5111111111111111,0.5578381306097184,0.5916666666666667,0.0218157423807514,10000.0,,,,
BernoulliNaiveBayes,0.5111111111111111,0.5578381306097184,0.5916666666666667,0.0218157423807514,,,,,
MultilayerPerceptron,0.5111111111111111,0.5578381306097184,0.5916666666666667,0.0218157423807514,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.5111111111111111,0.5578381306097184,0.5916666666666667,0.0218157423807514,,,,relu,"(17, 8, 17)"
DecisionTree,0.5111111111111111,0.5545001547508511,0.5766016713091922,0.020021972931999435,,gini,,,
DecisionTree,0.5111111111111111,0.5545001547508511,0.5766016713091922,0.020021972931999435,,entropy,,,
RandomForest,0.5111111111111111,0.5545001547508511,0.5766016713091922,0.020021972931999435,,,10,,
RandomForest,0.5111111111111111,0.5545001547508511,0.5766016713091922,0.020021972931999435,,,100,,
