estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.6504065040650406,0.7063905072249103,0.7732793522267206,0.04015810545709214,,gini,,,
DecisionTree,0.6504065040650406,0.7063905072249103,0.7732793522267206,0.04015810545709214,,entropy,,,
RandomForest,0.6504065040650406,0.7063905072249103,0.7732793522267206,0.04015810545709214,,,10,,
RandomForest,0.6504065040650406,0.7063905072249103,0.7732793522267206,0.04015810545709214,,,100,,
SupportVectorMachine,0.6504065040650406,0.7063905072249103,0.7732793522267206,0.04015810545709214,0.1,,,,
SupportVectorMachine,0.6504065040650406,0.7063905072249103,0.7732793522267206,0.04015810545709214,100,,,,
MultilayerPerceptron,0.6504065040650406,0.7059840031598696,0.7732793522267206,0.039670497918166826,,,,relu,"(17, 8, 17)"
QuadraticDiscriminantAnalysis,0.6504065040650406,0.7055807906257201,0.7732793522267206,0.04083633210127637,,,,,
MultilayerPerceptron,0.6504065040650406,0.7051742865606794,0.7732793522267206,0.040226708415116594,,,,tanh,"(17, 8, 17)"
LinearDiscriminantAnalysis,0.6477732793522267,0.6994996873045652,0.7611336032388664,0.03900984882939259,,,,,
LogisticRegression,0.6477732793522267,0.6994996873045652,0.7611336032388664,0.03900984882939259,1.0,,,,
LogisticRegression,0.6477732793522267,0.6994996873045652,0.7611336032388664,0.03900984882939259,10000.0,,,,
K-NearestNeighbor,0.6260162601626016,0.6881258023106547,0.7530364372469636,0.04174609223559726,,,,,
BernoulliNaiveBayes,0.5894308943089431,0.659352885026826,0.7327935222672065,0.04446270921061963,,,,,
LogisticRegression,0.5609756097560976,0.6475757874987658,0.7327935222672065,0.04883813271533837,0.0001,,,,
