estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.6097560975609756,0.697440834732234,0.7611336032388664,0.05000667254021165,,gini,,,
DecisionTree,0.6097560975609756,0.697440834732234,0.7611336032388664,0.05000667254021165,,entropy,,,
RandomForest,0.6097560975609756,0.697440834732234,0.7611336032388664,0.05000667254021165,,,100,,
LogisticRegression,0.6097560975609756,0.6970359764326388,0.757085020242915,0.04950322614558079,10000.0,,,,
RandomForest,0.6097560975609756,0.6970359764326388,0.757085020242915,0.04950322614558079,,,10,,
SupportVectorMachine,0.6097560975609756,0.6970359764326388,0.757085020242915,0.04950322614558079,0.1,,,,
SupportVectorMachine,0.6097560975609756,0.6970359764326388,0.757085020242915,0.04950322614558079,100,,,,
MultilayerPerceptron,0.6097560975609756,0.6970359764326388,0.757085020242915,0.04950322614558079,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.6097560975609756,0.6970359764326388,0.757085020242915,0.04950322614558079,,,,relu,"(17, 8, 17)"
LogisticRegression,0.6097560975609756,0.6962262598334485,0.757085020242915,0.04900858512135868,1.0,,,,
LinearDiscriminantAnalysis,0.6097560975609756,0.6958214015338534,0.7530364372469636,0.04851843216008251,,,,,
BernoulliNaiveBayes,0.5528455284552846,0.666176228563905,0.757085020242915,0.06981060694939126,,,,,
LogisticRegression,0.5528455284552846,0.6471215562358053,0.757085020242915,0.06948555460252026,0.0001,,,,
K-NearestNeighbor,0.5020242914979757,0.6451746157137686,0.7449392712550608,0.09137477136701014,,,,,
QuadraticDiscriminantAnalysis,0.5772357723577236,0.6005677890787006,0.6504065040650406,0.0226063482820782,,,,,
