estimator,configuration,feature_selection,precision,recall,f1-measure,auc-roc,brier score
DecisionTree,{'criterion': 'gini'},chi2_20p,0.07692307692307693,0.12162162162162163,0.09424083769633508,0.4629847238542891,0.2763578274760383
DecisionTree,{'criterion': 'entropy'},chi2_20p,0.07692307692307693,0.12162162162162163,0.09424083769633508,0.4629847238542891,0.2763578274760383
RandomForest,{'n_estimators': 10},chi2_20p,0.06896551724137931,0.10810810810810811,0.08421052631578947,0.4562279670975323,0.2779552715654952
RandomForest,{'n_estimators': 100},chi2_20p,0.07692307692307693,0.12162162162162163,0.09424083769633508,0.4629847238542891,0.2763578274760383
SupportVectorMachine,{'C': 0.1},chi2_20p,0.06896551724137931,0.10810810810810811,0.08421052631578947,0.4562279670975323,0.2779552715654952
SupportVectorMachine,{'C': 100},chi2_20p,0.07692307692307693,0.12162162162162163,0.09424083769633508,0.4629847238542891,0.2763578274760383
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",chi2_20p,0.07692307692307693,0.12162162162162163,0.09424083769633508,0.4629847238542891,0.2763578274760383
QuadraticDiscriminantAnalysis,{},chi2_20p,0.06086956521739131,0.0945945945945946,0.07407407407407408,0.44947121034077553,0.2795527156549521
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",chi2_20p,0.07627118644067797,0.12162162162162163,0.09375000000000001,0.46207892675283985,0.2779552715654952
LinearDiscriminantAnalysis,{},chi2_20p,0.0743801652892562,0.12162162162162163,0.09230769230769231,0.459361535448492,0.2827476038338658
DecisionTree,{'criterion': 'gini'},chi2_50p,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
DecisionTree,{'criterion': 'entropy'},chi2_50p,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
RandomForest,{'n_estimators': 10},chi2_50p,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
SupportVectorMachine,{'C': 100},chi2_50p,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",chi2_50p,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",chi2_50p,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
RandomForest,{'n_estimators': 100},chi2_50p,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
SupportVectorMachine,{'C': 0.1},chi2_50p,0.06896551724137931,0.10810810810810811,0.08421052631578947,0.4562279670975323,0.2779552715654952
LinearDiscriminantAnalysis,{},chi2_50p,0.06611570247933884,0.10810810810810811,0.08205128205128205,0.45169898159028593,0.28594249201277955
LogisticRegression,{'C': 10000.0},chi2_50p,0.06611570247933884,0.10810810810810811,0.08205128205128205,0.45169898159028593,0.28594249201277955
DecisionTree,{'criterion': 'gini'},mutual_info_classif_20p,0.06666666666666667,0.10810810810810811,0.08247422680412372,0.4526047786917352,0.28434504792332266
DecisionTree,{'criterion': 'entropy'},mutual_info_classif_20p,0.06666666666666667,0.10810810810810811,0.08247422680412372,0.4526047786917352,0.28434504792332266
RandomForest,{'n_estimators': 100},mutual_info_classif_20p,0.06666666666666667,0.10810810810810811,0.08247422680412372,0.4526047786917352,0.28434504792332266
LogisticRegression,{'C': 10000.0},mutual_info_classif_20p,0.06722689075630252,0.10810810810810811,0.08290155440414508,0.4535105757931845,0.2827476038338658
RandomForest,{'n_estimators': 10},mutual_info_classif_20p,0.06666666666666667,0.10810810810810811,0.08247422680412372,0.4526047786917352,0.28434504792332266
SupportVectorMachine,{'C': 0.1},mutual_info_classif_20p,0.06722689075630252,0.10810810810810811,0.08290155440414508,0.4535105757931845,0.2827476038338658
SupportVectorMachine,{'C': 100},mutual_info_classif_20p,0.06666666666666667,0.10810810810810811,0.08247422680412372,0.4526047786917352,0.28434504792332266
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",mutual_info_classif_20p,0.06722689075630252,0.10810810810810811,0.08290155440414508,0.4535105757931845,0.2827476038338658
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",mutual_info_classif_20p,0.06666666666666667,0.10810810810810811,0.08247422680412372,0.4526047786917352,0.28434504792332266
LogisticRegression,{'C': 1.0},mutual_info_classif_20p,0.06722689075630252,0.10810810810810811,0.08290155440414508,0.4535105757931845,0.2827476038338658
DecisionTree,{'criterion': 'gini'},mutual_info_classif_50p,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
DecisionTree,{'criterion': 'entropy'},mutual_info_classif_50p,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
RandomForest,{'n_estimators': 10},mutual_info_classif_50p,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
RandomForest,{'n_estimators': 100},mutual_info_classif_50p,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
SupportVectorMachine,{'C': 100},mutual_info_classif_50p,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",mutual_info_classif_50p,0.06896551724137931,0.10810810810810811,0.08421052631578947,0.4562279670975323,0.2779552715654952
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",mutual_info_classif_50p,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
SupportVectorMachine,{'C': 0.1},mutual_info_classif_50p,0.06896551724137931,0.10810810810810811,0.08421052631578947,0.4562279670975323,0.2779552715654952
LinearDiscriminantAnalysis,{},mutual_info_classif_50p,0.06666666666666667,0.10810810810810811,0.08247422680412372,0.4526047786917352,0.28434504792332266
LogisticRegression,{'C': 1.0},mutual_info_classif_50p,0.06666666666666667,0.10810810810810811,0.08247422680412372,0.4526047786917352,0.28434504792332266
DecisionTree,{'criterion': 'gini'},f_classif_20,0.07692307692307693,0.12162162162162163,0.09424083769633508,0.4629847238542891,0.2763578274760383
DecisionTree,{'criterion': 'entropy'},f_classif_20,0.07692307692307693,0.12162162162162163,0.09424083769633508,0.4629847238542891,0.2763578274760383
RandomForest,{'n_estimators': 10},f_classif_20,0.07692307692307693,0.12162162162162163,0.09424083769633508,0.4629847238542891,0.2763578274760383
RandomForest,{'n_estimators': 100},f_classif_20,0.07692307692307693,0.12162162162162163,0.09424083769633508,0.4629847238542891,0.2763578274760383
SupportVectorMachine,{'C': 0.1},f_classif_20,0.06896551724137931,0.10810810810810811,0.08421052631578947,0.4562279670975323,0.2779552715654952
SupportVectorMachine,{'C': 100},f_classif_20,0.07692307692307693,0.12162162162162163,0.09424083769633508,0.4629847238542891,0.2763578274760383
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",f_classif_20,0.06896551724137931,0.10810810810810811,0.08421052631578947,0.4562279670975323,0.2779552715654952
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",f_classif_20,0.06896551724137931,0.10810810810810811,0.08421052631578947,0.4562279670975323,0.2779552715654952
LinearDiscriminantAnalysis,{},f_classif_20,0.0743801652892562,0.12162162162162163,0.09230769230769231,0.459361535448492,0.2827476038338658
LogisticRegression,{'C': 1.0},f_classif_20,0.0743801652892562,0.12162162162162163,0.09230769230769231,0.459361535448492,0.2827476038338658
DecisionTree,{'criterion': 'gini'},f_classif_50,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
DecisionTree,{'criterion': 'entropy'},f_classif_50,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
SupportVectorMachine,{'C': 100},f_classif_50,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
RandomForest,{'n_estimators': 100},f_classif_50,0.07627118644067797,0.12162162162162163,0.09375000000000001,0.46207892675283985,0.2779552715654952
RandomForest,{'n_estimators': 10},f_classif_50,0.072,0.12162162162162163,0.09045226130653268,0.4557383470426949,0.28913738019169327
SupportVectorMachine,{'C': 0.1},f_classif_50,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",f_classif_50,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",f_classif_50,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
LinearDiscriminantAnalysis,{},f_classif_50,0.06611570247933884,0.10810810810810811,0.08205128205128205,0.45169898159028593,0.28594249201277955
LogisticRegression,{'C': 10000.0},f_classif_50,0.06611570247933884,0.10810810810810811,0.08205128205128205,0.45169898159028593,0.28594249201277955
DecisionTree,{'criterion': 'gini'},recursive_elimination,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
DecisionTree,{'criterion': 'entropy'},recursive_elimination,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
RandomForest,{'n_estimators': 10},recursive_elimination,0.07627118644067797,0.12162162162162163,0.09375000000000001,0.46207892675283985,0.2779552715654952
RandomForest,{'n_estimators': 100},recursive_elimination,0.07627118644067797,0.12162162162162163,0.09375000000000001,0.46207892675283985,0.2779552715654952
SupportVectorMachine,{'C': 0.1},recursive_elimination,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
SupportVectorMachine,{'C': 100},recursive_elimination,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",recursive_elimination,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",recursive_elimination,0.06837606837606838,0.10810810810810811,0.08376963350785341,0.45532216999608305,0.2795527156549521
LinearDiscriminantAnalysis,{},recursive_elimination,0.07377049180327869,0.12162162162162163,0.09183673469387754,0.45845573834704273,0.28434504792332266
LogisticRegression,{'C': 1.0},recursive_elimination,0.07377049180327869,0.12162162162162163,0.09183673469387754,0.45845573834704273,0.28434504792332266
SupportVectorMachine,{'C': 100},all,0.0743801652892562,0.12162162162162163,0.09230769230769231,0.459361535448492,0.2827476038338658
DecisionTree,{'criterion': 'gini'},all,0.0743801652892562,0.12162162162162163,0.09230769230769231,0.459361535448492,0.2827476038338658
DecisionTree,{'criterion': 'entropy'},all,0.0743801652892562,0.12162162162162163,0.09230769230769231,0.459361535448492,0.2827476038338658
