estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.6097560975609756,0.697440834732234,0.7611336032388664,0.05000667254021165,,gini,,,
DecisionTree,0.6097560975609756,0.697440834732234,0.7611336032388664,0.05000667254021165,,entropy,,,
RandomForest,0.6097560975609756,0.697440834732234,0.7611336032388664,0.05000667254021165,,,100,,
LogisticRegression,0.6097560975609756,0.6970359764326388,0.757085020242915,0.04950322614558079,10000.0,,,,
RandomForest,0.6097560975609756,0.6970359764326388,0.757085020242915,0.04950322614558079,,,10,,
SupportVectorMachine,0.6097560975609756,0.6970359764326388,0.757085020242915,0.04950322614558079,0.1,,,,
SupportVectorMachine,0.6097560975609756,0.6970359764326388,0.757085020242915,0.04950322614558079,100,,,,
MultilayerPerceptron,0.6097560975609756,0.6970359764326388,0.757085020242915,0.04950322614558079,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.6097560975609756,0.6970359764326388,0.757085020242915,0.04950322614558079,,,,relu,"(17, 8, 17)"
LogisticRegression,0.6097560975609756,0.6962262598334485,0.757085020242915,0.04900858512135868,1.0,,,,
