estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.5934959349593496,0.7022958427964847,0.7692307692307693,0.05036904358117657,,gini,,,
DecisionTree,0.5934959349593496,0.7022958427964847,0.7692307692307693,0.05036904358117657,,entropy,,,
RandomForest,0.5934959349593496,0.7022958427964847,0.7692307692307693,0.05036904358117657,,,10,,
RandomForest,0.5934959349593496,0.7022958427964847,0.7692307692307693,0.05036904358117657,,,100,,
SupportVectorMachine,0.5934959349593496,0.7022958427964847,0.7692307692307693,0.05036904358117657,0.1,,,,
SupportVectorMachine,0.5934959349593496,0.7022958427964847,0.7692307692307693,0.05036904358117657,100,,,,
MultilayerPerceptron,0.5934959349593496,0.7022958427964847,0.7692307692307693,0.05036904358117657,,,,relu,"(17, 8, 17)"
MultilayerPerceptron,0.5934959349593496,0.7010796221322537,0.7692307692307693,0.05058716389894239,,,,tanh,"(17, 8, 17)"
LinearDiscriminantAnalysis,0.5934959349593496,0.6954050228761396,0.757085020242915,0.048558593691841984,,,,,
LogisticRegression,0.5934959349593496,0.6954050228761396,0.757085020242915,0.048558593691841984,1.0,,,,
