estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
MultilayerPerceptron,0.576608784473953,0.6119559238130395,0.6600306278713629,0.028426876048562665,,,,relu,"(17, 8, 17)"
RandomForest,0.5760980592441267,0.6117516858625314,0.6620724859622257,0.02924938026371709,,,100,,
DecisionTree,0.576608784473953,0.6116496190286992,0.6620724859622257,0.029191580636989588,,gini,,,
DecisionTree,0.576608784473953,0.6116496190286992,0.6620724859622257,0.029191580636989588,,entropy,,,
SupportVectorMachine,0.5760980592441267,0.6115985465057165,0.6615620214395099,0.02912288347193966,100,,,,
SupportVectorMachine,0.5760980592441267,0.6113431838908034,0.6620724859622257,0.028765961408454697,0.1,,,,
RandomForest,0.5712098009188361,0.6106797625062504,0.6615620214395099,0.030552653433610667,,,10,,
MultilayerPerceptron,0.575076608784474,0.6105263885130361,0.6620724859622257,0.027818294361224873,,,,tanh,"(17, 8, 17)"
LogisticRegression,0.5742725880551302,0.6100159761317425,0.6600306278713629,0.02907521393830792,0.0001,,,,
BernoulliNaiveBayes,0.5701888718734048,0.6075657985641294,0.6544155181214906,0.02628104067892346,,,,,
LinearDiscriminantAnalysis,0.5671260847371108,0.60537074897503,0.6523736600306279,0.027192978085335325,,,,,
LogisticRegression,0.5671260847371108,0.6049622991447243,0.6523736600306279,0.027675295987636933,10000.0,,,,
LogisticRegression,0.5676365492598264,0.6049112005510305,0.6523736600306279,0.027603985175118684,1.0,,,,
QuadraticDiscriminantAnalysis,0.4992343032159265,0.5466674592162832,0.6332992849846782,0.047606141689994184,,,,,
K-NearestNeighbor,0.4777947932618683,0.5079131647184024,0.5176110260336907,0.010644915541837583,,,,,
