estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LinearDiscriminantAnalysis,0.5625319040326697,0.6079228630229199,0.6579887697805002,0.03272125435831164,,,,,
LogisticRegression,0.5625319040326697,0.6079228630229199,0.6579887697805002,0.03272125435831164,0.0001,,,,
LogisticRegression,0.5625319040326697,0.6079228630229199,0.6579887697805002,0.03272125435831164,1.0,,,,
LogisticRegression,0.5625319040326697,0.6079228630229199,0.6579887697805002,0.03272125435831164,10000.0,,,,
BernoulliNaiveBayes,0.5625319040326697,0.6079228630229199,0.6579887697805002,0.03272125435831164,,,,,
DecisionTree,0.5625319040326697,0.6079228630229199,0.6579887697805002,0.03272125435831164,,gini,,,
DecisionTree,0.5625319040326697,0.6079228630229199,0.6579887697805002,0.03272125435831164,,entropy,,,
RandomForest,0.5625319040326697,0.6079228630229199,0.6579887697805002,0.03272125435831164,,,100,,
MultilayerPerceptron,0.5625319040326697,0.6079228630229199,0.6579887697805002,0.03272125435831164,,,,tanh,"(17, 8, 17)"
SupportVectorMachine,0.5625319040326697,0.6078207701183767,0.6579887697805002,0.03272256175313463,0.1,,,,
SupportVectorMachine,0.5625319040326697,0.6078207701183767,0.6579887697805002,0.03272256175313463,100,,,,
MultilayerPerceptron,0.5625319040326697,0.6074632103160761,0.6579887697805002,0.03326460358052916,,,,relu,"(17, 8, 17)"
RandomForest,0.5579377233282287,0.6072082126911178,0.6579887697805002,0.033385896507674914,,,10,,
QuadraticDiscriminantAnalysis,0.4992343032159265,0.5525854063459239,0.6368743615934627,0.04871109278906829,,,,,
K-NearestNeighbor,0.5002552322613578,0.5217468054254193,0.5640632976008167,0.018872768617209972,,,,,
