estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LinearDiscriminantAnalysis,0.5658835546475995,0.6063397190933023,0.667687595712098,0.03203839792886274,,,,,
LogisticRegression,0.5658835546475995,0.6063397190933023,0.667687595712098,0.03203839792886274,0.0001,,,,
LogisticRegression,0.5658835546475995,0.6063397190933023,0.667687595712098,0.03203839792886274,1.0,,,,
LogisticRegression,0.5658835546475995,0.6063397190933023,0.667687595712098,0.03203839792886274,10000.0,,,,
BernoulliNaiveBayes,0.5658835546475995,0.6063397190933023,0.667687595712098,0.03203839792886274,,,,,
DecisionTree,0.5658835546475995,0.6063397190933023,0.667687595712098,0.03203839792886274,,gini,,,
DecisionTree,0.5658835546475995,0.6063397190933023,0.667687595712098,0.03203839792886274,,entropy,,,
RandomForest,0.5658835546475995,0.6063397190933023,0.667687595712098,0.03203839792886274,,,10,,
RandomForest,0.5658835546475995,0.6063397190933023,0.667687595712098,0.03203839792886274,,,100,,
MultilayerPerceptron,0.5658835546475995,0.6063397190933023,0.667687595712098,0.03203839792886274,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.5658835546475995,0.6063397190933023,0.667687595712098,0.03203839792886274,,,,relu,"(17, 8, 17)"
SupportVectorMachine,0.5658835546475995,0.6062376261887592,0.667687595712098,0.03207370820326675,0.1,,,,
SupportVectorMachine,0.5658835546475995,0.6062376261887592,0.667687595712098,0.03207370820326675,100,,,,
QuadraticDiscriminantAnalysis,0.4992343032159265,0.5522789712080282,0.6348314606741573,0.04840924043081143,,,,,
K-NearestNeighbor,0.5002552322613578,0.5228189112766775,0.554364471669219,0.018473040899566785,,,,,
