estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LinearDiscriminantAnalysis,0.5704800817160368,0.6085865972560055,0.6503318019397651,0.0267614092936599,,,,,
LogisticRegression,0.5704800817160368,0.6085865972560055,0.6503318019397651,0.0267614092936599,0.0001,,,,
LogisticRegression,0.5704800817160368,0.6085865972560055,0.6503318019397651,0.0267614092936599,1.0,,,,
LogisticRegression,0.5704800817160368,0.6085865972560055,0.6503318019397651,0.0267614092936599,10000.0,,,,
BernoulliNaiveBayes,0.5704800817160368,0.6085865972560055,0.6503318019397651,0.0267614092936599,,,,,
SupportVectorMachine,0.5661051556916794,0.6052171403454161,0.6503318019397651,0.027705555649244838,0.1,,,,
MultilayerPerceptron,0.5645737621235324,0.6049620123669025,0.6477794793261868,0.02841461721005119,,,,relu,"(17, 8, 17)"
RandomForest,0.5645737621235324,0.6047065976105672,0.6477794793261868,0.027594475745025705,,,10,,
MultilayerPerceptron,0.5638406537282942,0.6046552904511849,0.6503318019397651,0.028572671070157745,,,,tanh,"(17, 8, 17)"
RandomForest,0.5602655771195098,0.6039403533415613,0.6508422664624809,0.028625691628269757,,,100,,
SupportVectorMachine,0.5602655771195098,0.6038382604370182,0.6508422664624809,0.028654840624369987,100,,,,
DecisionTree,0.5602655771195098,0.6036851210802034,0.6482899438489025,0.028214796651158263,,gini,,,
DecisionTree,0.5602655771195098,0.6036851210802034,0.6482899438489025,0.028214796651158263,,entropy,,,
K-NearestNeighbor,0.5002552322613578,0.5161827160571073,0.5436447166921899,0.01256469744981452,,,,,
QuadraticDiscriminantAnalysis,0.4997447677386422,0.5,0.5002552322613578,0.00022828667457882988,,,,,
