estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
MultilayerPerceptron,0.5786516853932584,0.6128230095924574,0.6544155181214906,0.02505436572136499,,,,tanh,"(17, 8, 17)"
LogisticRegression,0.5778458397141398,0.607361169552955,0.6518631955079122,0.023518459875792826,0.0001,,,,
MultilayerPerceptron,0.5681470137825421,0.6065954988395926,0.6549259826442062,0.026188482958844416,,,,relu,"(17, 8, 17)"
SupportVectorMachine,0.5676365492598264,0.6065953424153262,0.6539050535987749,0.025809860649979283,0.1,,,,
DecisionTree,0.566394279877426,0.6059312431922856,0.6533945890760592,0.026859110903540206,,gini,,,
SupportVectorMachine,0.566394279877426,0.6059312431922856,0.6533945890760592,0.026859110903540206,100,,,,
DecisionTree,0.566394279877426,0.605880196740014,0.6533945890760592,0.02686053631435816,,entropy,,,
RandomForest,0.566394279877426,0.6057781038354709,0.6533945890760592,0.026897024742310024,,,100,,
BernoulliNaiveBayes,0.5742725880551302,0.6056765323451491,0.6452271567126084,0.020789258660101107,,,,,
RandomForest,0.5653728294177732,0.6055738658849625,0.6533945890760592,0.02727894452288556,,,10,,
LinearDiscriminantAnalysis,0.5696784073506891,0.6027668584949587,0.6447166921898928,0.022139394403948052,,,,,
LogisticRegression,0.5696784073506891,0.6024603972863518,0.6447166921898928,0.022819279081772517,10000.0,,,,
LogisticRegression,0.5691679428279734,0.6024093247633691,0.6452271567126084,0.02287177434482743,1.0,,,,
QuadraticDiscriminantAnalysis,0.5033180193976519,0.5791833454040726,0.6544155181214906,0.05093045220240564,,,,,
K-NearestNeighbor,0.5089331291475242,0.5148047746943079,0.5196528841245533,0.0036947762736936453,,,,,
