estimator,configuration,feature_selection,precision,recall,f1-measure,auc-roc,brier score
LinearDiscriminantAnalysis,{},chi2_20p,0.108843537,0.662068966,0.186952288,0.697768969,0.269877182
LogisticRegression,{'C': 0.0001},chi2_20p,0.108843537,0.662068966,0.186952288,0.697768969,0.269877182
LogisticRegression,{'C': 1.0},chi2_20p,0.108843537,0.662068966,0.186952288,0.697768969,0.269877182
LogisticRegression,{'C': 10000.0},chi2_20p,0.108843537,0.662068966,0.186952288,0.697768969,0.269877182
BernoulliNaiveBayes,{},chi2_20p,0.108843537,0.662068966,0.186952288,0.697768969,0.269877182
DecisionTree,{'criterion': 'gini'},chi2_20p,0.108843537,0.662068966,0.186952288,0.697768969,0.269877182
DecisionTree,{'criterion': 'entropy'},chi2_20p,0.108843537,0.662068966,0.186952288,0.697768969,0.269877182
RandomForest,{'n_estimators': 100},chi2_20p,0.108843537,0.662068966,0.186952288,0.697768969,0.269877182
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",chi2_20p,0.108843537,0.662068966,0.186952288,0.697768969,0.269877182
SupportVectorMachine,{'C': 0.1},chi2_20p,0.108843537,0.662068966,0.186952288,0.697768969,0.269877182
DecisionTree,{'criterion': 'gini'},chi2_50p,0.101534829,0.593103448,0.173387097,0.667524935,0.265029089
DecisionTree,{'criterion': 'entropy'},chi2_50p,0.101534829,0.593103448,0.173387097,0.667524935,0.265029089
RandomForest,{'n_estimators': 100},chi2_50p,0.101534829,0.593103448,0.173387097,0.667524935,0.265029089
RandomForest,{'n_estimators': 10},chi2_50p,0.103529412,0.606896552,0.176884422,0.674251938,0.264705882
SupportVectorMachine,{'C': 100},chi2_50p,0.103529412,0.606896552,0.176884422,0.674251938,0.264705882
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",chi2_50p,0.108391608,0.64137931,0.185443669,0.69098467,0.26405947
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",chi2_50p,0.108391608,0.64137931,0.185443669,0.69098467,0.26405947
SupportVectorMachine,{'C': 0.1},chi2_50p,0.108518086,0.64137931,0.185628743,0.691154219,0.263736264
BernoulliNaiveBayes,{},chi2_50p,0.109573241,0.655172414,0.187747036,0.696694379,0.265675501
LogisticRegression,{'C': 0.0001},chi2_50p,0.108843537,0.662068966,0.186952288,0.697768969,0.269877182
LinearDiscriminantAnalysis,{},mutual_info_classif_20p,0.12195122,0.413793103,0.188383046,0.633651384,0.167097608
QuadraticDiscriminantAnalysis,{},mutual_info_classif_20p,0.12195122,0.413793103,0.188383046,0.633651384,0.167097608
LogisticRegression,{'C': 0.0001},mutual_info_classif_20p,0.122199593,0.413793103,0.188679245,0.633820933,0.166774402
LogisticRegression,{'C': 1.0},mutual_info_classif_20p,0.12195122,0.413793103,0.188383046,0.633651384,0.167097608
LogisticRegression,{'C': 10000.0},mutual_info_classif_20p,0.12195122,0.413793103,0.188383046,0.633651384,0.167097608
BernoulliNaiveBayes,{},mutual_info_classif_20p,0.12195122,0.413793103,0.188383046,0.633651384,0.167097608
DecisionTree,{'criterion': 'gini'},mutual_info_classif_20p,0.122199593,0.413793103,0.188679245,0.633820933,0.166774402
DecisionTree,{'criterion': 'entropy'},mutual_info_classif_20p,0.122199593,0.413793103,0.188679245,0.633820933,0.166774402
RandomForest,{'n_estimators': 10},mutual_info_classif_20p,0.12195122,0.413793103,0.188383046,0.633651384,0.167097608
RandomForest,{'n_estimators': 100},mutual_info_classif_20p,0.12195122,0.413793103,0.188383046,0.633651384,0.167097608
LinearDiscriminantAnalysis,{},mutual_info_classif_50p,0.108843537,0.662068966,0.186952288,0.697768969,0.269877182
LogisticRegression,{'C': 0.0001},mutual_info_classif_50p,0.108843537,0.662068966,0.186952288,0.697768969,0.269877182
LogisticRegression,{'C': 1.0},mutual_info_classif_50p,0.108720272,0.662068966,0.186770428,0.69759942,0.270200388
LogisticRegression,{'C': 10000.0},mutual_info_classif_50p,0.108720272,0.662068966,0.186770428,0.69759942,0.270200388
BernoulliNaiveBayes,{},mutual_info_classif_50p,0.108720272,0.662068966,0.186770428,0.69759942,0.270200388
SupportVectorMachine,{'C': 0.1},mutual_info_classif_50p,0.108843537,0.662068966,0.186952288,0.697768969,0.269877182
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",mutual_info_classif_50p,0.108843537,0.662068966,0.186952288,0.697768969,0.269877182
