estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.5674157303370787,0.6163452669406178,0.6804492087799898,0.033663055921862195,,gini,,,
DecisionTree,0.5674157303370787,0.6163452669406178,0.6804492087799898,0.033663055921862195,,entropy,,,
RandomForest,0.5674157303370787,0.6163452669406178,0.6804492087799898,0.033663055921862195,,,100,,
RandomForest,0.5674157303370787,0.6162431479653635,0.6799387442572741,0.0335358571123855,,,10,,
SupportVectorMachine,0.5674157303370787,0.6161410550608204,0.6799387442572741,0.03355623993887273,100,,,,
MultilayerPerceptron,0.566394279877426,0.615681558778243,0.6789178152118428,0.03368794579738705,,,,relu,"(17, 8, 17)"
MultilayerPerceptron,0.5669050051072523,0.6153752539939026,0.6789178152118428,0.033650124212424144,,,,tanh,"(17, 8, 17)"
SupportVectorMachine,0.566394279877426,0.615068923138851,0.678407350689127,0.03366107924272412,0.1,,,,
BernoulliNaiveBayes,0.566394279877426,0.6139969215704372,0.6778968861664114,0.03172682990066573,,,,,
LogisticRegression,0.5648621041879469,0.6134353063126057,0.6768759571209801,0.03396423451057259,0.0001,,,,
