estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LinearDiscriminantAnalysis,0.5658835546475995,0.6063397190933023,0.667687595712098,0.03203839792886274,,,,,
LogisticRegression,0.5658835546475995,0.6063397190933023,0.667687595712098,0.03203839792886274,0.0001,,,,
LogisticRegression,0.5658835546475995,0.6063397190933023,0.667687595712098,0.03203839792886274,1.0,,,,
LogisticRegression,0.5658835546475995,0.6063397190933023,0.667687595712098,0.03203839792886274,10000.0,,,,
BernoulliNaiveBayes,0.5658835546475995,0.6063397190933023,0.667687595712098,0.03203839792886274,,,,,
DecisionTree,0.5658835546475995,0.6063397190933023,0.667687595712098,0.03203839792886274,,gini,,,
DecisionTree,0.5658835546475995,0.6063397190933023,0.667687595712098,0.03203839792886274,,entropy,,,
RandomForest,0.5658835546475995,0.6063397190933023,0.667687595712098,0.03203839792886274,,,10,,
RandomForest,0.5658835546475995,0.6063397190933023,0.667687595712098,0.03203839792886274,,,100,,
MultilayerPerceptron,0.5658835546475995,0.6063397190933023,0.667687595712098,0.03203839792886274,,,,tanh,"(17, 8, 17)"
