estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
MultilayerPerceptron,0.6795977011494253,0.709894763224992,0.7442528735632183,0.018244141709602524,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.6795977011494253,0.709678059839427,0.7286432160804021,0.01356441047474079,,,,relu,"(17, 8, 17)"
SupportVectorMachine,0.6652298850574713,0.705298041933807,0.7234195402298851,0.015838888919365354,0.1,,,,
SupportVectorMachine,0.6652298850574713,0.705298041933807,0.7234195402298851,0.015838888919365354,100,,,,
DecisionTree,0.6652298850574713,0.7052262028533471,0.7234195402298851,0.015793941056586422,,gini,,,
DecisionTree,0.6652298850574713,0.7052262028533471,0.7234195402298851,0.015793941056586422,,entropy,,,
RandomForest,0.6652298850574713,0.7052262028533471,0.7234195402298851,0.015793941056586422,,,100,,
RandomForest,0.6652298850574713,0.7051543637728874,0.7234195402298851,0.015830251136085872,,,10,,
BernoulliNaiveBayes,0.6769562096195262,0.6939544293718181,0.7076149425287356,0.009696884718427468,,,,,
LogisticRegression,0.6551724137931034,0.6895717297489088,0.7236180904522613,0.024013709634182395,10000.0,,,,
LogisticRegression,0.6551724137931034,0.6894998906684491,0.7236180904522613,0.023982169483662885,1.0,,,,
LinearDiscriminantAnalysis,0.6494252873563219,0.6847602647886395,0.7214644651830582,0.02423110269859069,,,,,
LogisticRegression,0.6489590811198851,0.6701860080369004,0.6860632183908046,0.011368781675251053,0.0001,,,,
K-NearestNeighbor,0.5438218390804598,0.5530651512901124,0.5599425699928212,0.004655313783840793,,,,,
QuadraticDiscriminantAnalysis,0.4996410624551328,0.5,0.5003589375448672,0.00027803182671983526,,,,,
