estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.625,0.6565385424660247,0.6812634601579325,0.01966431978041596,,gini,,,
DecisionTree,0.625,0.6565385424660247,0.6812634601579325,0.01966431978041596,,entropy,,,
RandomForest,0.625,0.6565385424660247,0.6812634601579325,0.01966431978041596,,,10,,
RandomForest,0.625,0.6565385424660247,0.6812634601579325,0.01966431978041596,,,100,,
SupportVectorMachine,0.625,0.6565385424660247,0.6812634601579325,0.01966431978041596,0.1,,,,
SupportVectorMachine,0.625,0.6565385424660247,0.6812634601579325,0.01966431978041596,100,,,,
MultilayerPerceptron,0.625,0.6565385424660247,0.6812634601579325,0.01966431978041596,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.625,0.6565385424660247,0.6812634601579325,0.01966431978041596,,,,relu,"(17, 8, 17)"
LinearDiscriminantAnalysis,0.6020114942528736,0.6396643521383601,0.6666666666666666,0.020479807474847157,,,,,
LogisticRegression,0.6020114942528736,0.6396643521383601,0.6666666666666666,0.020479807474847157,1.0,,,,
LogisticRegression,0.6020114942528736,0.6396643521383601,0.6666666666666666,0.020479807474847157,10000.0,,,,
LogisticRegression,0.5998563218390804,0.6362892562153956,0.6625987078248384,0.020237201068910887,0.0001,,,,
BernoulliNaiveBayes,0.5890804597701149,0.6241539181952455,0.6532663316582915,0.022588217053047345,,,,,
K-NearestNeighbor,0.4996410624551328,0.5,0.5003589375448672,0.0002780318267198353,,,,,
QuadraticDiscriminantAnalysis,0.43933955491744436,0.4968423294634089,0.5050287356321839,0.019207927749581362,,,,,
