estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.6408045977011494,0.6809552689556156,0.7248563218390804,0.026904139281478313,,gini,,,
DecisionTree,0.6408045977011494,0.6809552689556156,0.7248563218390804,0.026904139281478313,,entropy,,,
RandomForest,0.6408045977011494,0.6809552689556156,0.7248563218390804,0.026904139281478313,,,10,,
RandomForest,0.6408045977011494,0.6809552689556156,0.7248563218390804,0.026904139281478313,,,100,,
SupportVectorMachine,0.6408045977011494,0.6809552689556156,0.7248563218390804,0.026904139281478313,0.1,,,,
SupportVectorMachine,0.6408045977011494,0.6809552689556156,0.7248563218390804,0.026904139281478313,100,,,,
MultilayerPerceptron,0.6408045977011494,0.6809552689556156,0.7248563218390804,0.026904139281478313,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.6408045977011494,0.6809552689556156,0.7248563218390804,0.026904139281478313,,,,relu,"(17, 8, 17)"
LogisticRegression,0.6408045977011494,0.6761446291391275,0.7169540229885057,0.025114589426270737,1.0,,,,
LogisticRegression,0.6408045977011494,0.6761446291391275,0.7169540229885057,0.025114589426270737,10000.0,,,,
LinearDiscriminantAnalysis,0.6329022988505747,0.6752107210931505,0.7169540229885057,0.026376585670199747,,,,,
LogisticRegression,0.6329022988505747,0.6752107210931505,0.7169540229885057,0.026376585670199747,0.0001,,,,
BernoulliNaiveBayes,0.6329022988505747,0.6752107210931505,0.7169540229885057,0.026376585670199747,,,,,
QuadraticDiscriminantAnalysis,0.4996410624551328,0.5,0.5003589375448672,0.00027803182671983526,,,,,
K-NearestNeighbor,0.4996410624551328,0.5,0.5003589375448672,0.0002780318267198353,,,,,
