estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.6781609195402298,0.6946004653810927,0.709978463747308,0.010388463463034106,,gini,,,
DecisionTree,0.6781609195402298,0.6946004653810927,0.709978463747308,0.010388463463034106,,entropy,,,
RandomForest,0.6781609195402298,0.6946004653810927,0.709978463747308,0.010388463463034106,,,10,,
RandomForest,0.6781609195402298,0.6946004653810927,0.709978463747308,0.010388463463034106,,,100,,
SupportVectorMachine,0.6781609195402298,0.6946004653810927,0.709978463747308,0.010388463463034106,0.1,,,,
SupportVectorMachine,0.6781609195402298,0.6946004653810927,0.709978463747308,0.010388463463034106,100,,,,
MultilayerPerceptron,0.6781609195402298,0.6946004653810927,0.709978463747308,0.010388463463034106,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.6781609195402298,0.6946004653810927,0.709978463747308,0.010388463463034106,,,,relu,"(17, 8, 17)"
BernoulliNaiveBayes,0.6594827586206896,0.6793769236164401,0.6963388370423547,0.011366995564686974,,,,,
LogisticRegression,0.6590093323761665,0.6757877028822272,0.6968390804597702,0.010779197416679404,10000.0,,,,
